factor_id,factor_name,family_id,formula,required_inputs,output_unit,economic_direction,applicable_sector_profiles,period_basis,build_state,denominator_rule,comparability_requirement,warning_policy,ranking_posture,trade_authority
FIN_GROSS_MARGIN_TTM,Gross margin TTM,PROFITABILITY,"DIVIDE(SUBTRACT(revenue_ttm,cogs_ttm),revenue_ttm)",revenue_ttm|cogs_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_OPERATING_MARGIN_TTM,Operating margin TTM,PROFITABILITY,"DIVIDE(operating_income_ttm,revenue_ttm)",operating_income_ttm|revenue_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_NET_MARGIN_PARENT_TTM,Parent net margin TTM,PROFITABILITY,"DIVIDE(net_income_parent_ttm,revenue_ttm)",net_income_parent_ttm|revenue_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_ROE_AVG_PARENT_EQUITY_TTM,ROE on average parent equity TTM,PROFITABILITY,"DIVIDE(net_income_parent_ttm,avg_parent_equity)",net_income_parent_ttm|avg_parent_equity,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL|BANK|INSURANCE|SECURITIES_AND_BROKERAGE,TTM,MVP_REQUIRED,POSITIVE_AVERAGE_PARENT_EQUITY,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_ROA_AVG_ASSETS_TTM,ROA on average assets TTM,PROFITABILITY,"DIVIDE(net_income_parent_ttm,avg_total_assets)",net_income_parent_ttm|avg_total_assets,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL|BANK|INSURANCE|SECURITIES_AND_BROKERAGE,TTM,MVP_REQUIRED,POSITIVE_AVERAGE_TOTAL_ASSETS,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_CFO_TO_PARENT_NI_TTM,CFO to parent net income TTM,EARNINGS_QUALITY,"DIVIDE(cfo_ttm,net_income_parent_ttm)",cfo_ttm|net_income_parent_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_PARENT_NET_INCOME,REQUIRED,NEGATIVE_OR_ZERO_EARNINGS_INVALID,ELIGIBLE_WHEN_VALID,NONE
FIN_CFO_MARGIN_TTM,CFO margin TTM,EARNINGS_QUALITY,"DIVIDE(cfo_ttm,revenue_ttm)",cfo_ttm|revenue_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_FCF_MARGIN_TTM,Free cash flow margin TTM,EARNINGS_QUALITY,"DIVIDE(ADD(cfo_ttm,capex_ttm),revenue_ttm)",cfo_ttm|capex_ttm|revenue_ttm,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,Accruals to average assets TTM,EARNINGS_QUALITY,"DIVIDE(SUBTRACT(net_income_parent_ttm,cfo_ttm),avg_total_assets)",net_income_parent_ttm|cfo_ttm|avg_total_assets,RATIO,LOWER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_AVERAGE_TOTAL_ASSETS,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_CAPEX_INTENSITY_TTM,Capital expenditure intensity TTM,EFFICIENCY,"DIVIDE(ABS(capex_ttm),revenue_ttm)",capex_ttm|revenue_ttm,RATIO,CONTEXT_DEPENDENT,GENERAL_NON_FINANCIAL,TTM,MVP_DIAGNOSTIC,POSITIVE_REVENUE,REQUIRED,CAPITAL_INTENSITY_IS_SECTOR_DEPENDENT,DIAGNOSTIC_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,Asset turnover TTM,EFFICIENCY,"DIVIDE(revenue_ttm,avg_total_assets)",revenue_ttm|avg_total_assets,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,TTM,MVP_REQUIRED,POSITIVE_AVERAGE_TOTAL_ASSETS,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_REVENUE_YOY,Revenue growth YoY,GROWTH,"SUBTRACT(DIVIDE(revenue_ttm,prior_revenue_same_period),1)",revenue_ttm|prior_revenue_same_period,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,SAME_FISCAL_PERIOD_YOY,MVP_REQUIRED,POSITIVE_PRIOR_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_PARENT_NI_YOY,Parent net income growth YoY,GROWTH,"SUBTRACT(DIVIDE(net_income_parent_ttm,prior_net_income_parent_same_period),1)",net_income_parent_ttm|prior_net_income_parent_same_period,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL|BANK|INSURANCE|SECURITIES_AND_BROKERAGE,SAME_FISCAL_PERIOD_YOY,MVP_REQUIRED,SAME_SIGN_POSITIVE_BASE,REQUIRED,LOSS_TO_PROFIT_OR_PROFIT_TO_LOSS_IS_INVALID_SIGN_TRANSITION,ELIGIBLE_WHEN_VALID,NONE
FIN_CFO_YOY,Operating cash flow growth YoY,GROWTH,"SUBTRACT(DIVIDE(cfo_ttm,prior_cfo_same_period),1)",cfo_ttm|prior_cfo_same_period,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,SAME_FISCAL_PERIOD_YOY,MVP_REQUIRED,SAME_SIGN_POSITIVE_BASE,REQUIRED,NEGATIVE_OR_SIGN_TRANSITION_CFO_GROWTH_IS_NOT_RANKABLE,ELIGIBLE_WHEN_VALID,NONE
FIN_REVENUE_CAGR_3Y,Revenue CAGR 3Y,GROWTH,"SUBTRACT(POWER(DIVIDE(revenue_ttm,revenue_3y_ago),0.3333333333333333),1)",revenue_ttm|revenue_3y_ago,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,THREE_YEAR_SAME_FISCAL_PERIOD,MVP_REQUIRED,POSITIVE_START_AND_END,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_PARENT_NI_CAGR_3Y,Parent net income CAGR 3Y,GROWTH,"SUBTRACT(POWER(DIVIDE(net_income_parent_ttm,net_income_parent_3y_ago),0.3333333333333333),1)",net_income_parent_ttm|net_income_parent_3y_ago,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL|BANK|INSURANCE|SECURITIES_AND_BROKERAGE,THREE_YEAR_SAME_FISCAL_PERIOD,MVP_REQUIRED,POSITIVE_START_AND_END,REQUIRED,NEGATIVE_BASE_OR_END_INVALID,ELIGIBLE_WHEN_VALID,NONE
FIN_GROSS_MARGIN_YOY_DELTA,Gross margin YoY change,GROWTH,"SUBTRACT(DIVIDE(SUBTRACT(revenue_ttm,cogs_ttm),revenue_ttm),prior_gross_margin_same_period)",revenue_ttm|cogs_ttm|prior_gross_margin_same_period,RATIO_POINT,HIGHER_BETTER,GENERAL_NON_FINANCIAL,SAME_FISCAL_PERIOD_YOY,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,Operating margin YoY change,GROWTH,"SUBTRACT(DIVIDE(operating_income_ttm,revenue_ttm),prior_operating_margin_same_period)",operating_income_ttm|revenue_ttm|prior_operating_margin_same_period,RATIO_POINT,HIGHER_BETTER,GENERAL_NON_FINANCIAL,SAME_FISCAL_PERIOD_YOY,MVP_REQUIRED,POSITIVE_REVENUE,REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_CURRENT_RATIO,Current ratio,BALANCE_SHEET,"DIVIDE(total_current_assets,total_current_liabilities)",total_current_assets|total_current_liabilities,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,POINT_IN_TIME,MVP_REQUIRED,POSITIVE_CURRENT_LIABILITIES,NOT_REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_LIABILITIES_TO_ASSETS,Liabilities to assets,BALANCE_SHEET,"DIVIDE(total_liabilities,total_assets)",total_liabilities|total_assets,RATIO,LOWER_BETTER,GENERAL_NON_FINANCIAL,POINT_IN_TIME,MVP_REQUIRED,POSITIVE_TOTAL_ASSETS,NOT_REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,Interest-bearing debt to parent equity,BALANCE_SHEET,"DIVIDE(ADD(ADD(short_term_debt,long_term_debt),bonds_payable),parent_equity)",short_term_debt|long_term_debt|bonds_payable|parent_equity,RATIO,LOWER_BETTER,GENERAL_NON_FINANCIAL,POINT_IN_TIME,MVP_REQUIRED,POSITIVE_PARENT_EQUITY,NOT_REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_NET_DEBT_TO_EQUITY,Net debt to parent equity,BALANCE_SHEET,"DIVIDE(SUBTRACT(ADD(ADD(short_term_debt,long_term_debt),bonds_payable),cash_equivalents),parent_equity)",short_term_debt|long_term_debt|bonds_payable|cash_equivalents|parent_equity,RATIO,LOWER_BETTER,GENERAL_NON_FINANCIAL,POINT_IN_TIME,MVP_REQUIRED,POSITIVE_PARENT_EQUITY,NOT_REQUIRED,NONE,ELIGIBLE_WHEN_VALID,NONE
FIN_CASH_TO_SHORT_DEBT,Cash to short-term debt,BALANCE_SHEET,"DIVIDE(cash_equivalents,short_term_debt)",cash_equivalents|short_term_debt,RATIO,HIGHER_BETTER,GENERAL_NON_FINANCIAL,POINT_IN_TIME,MVP_REQUIRED,POSITIVE_SHORT_TERM_DEBT,NOT_REQUIRED,ZERO_SHORT_TERM_DEBT_RETURNS_NOT_APPLICABLE_NOT_INFINITY,ELIGIBLE_WHEN_VALID,NONE
