capability,status,evidence
A_SHARE_FULL_MARKET_DATA,OPERATIONAL,"5,528-symbol accepted A-share market and financial evidence chain"
A_SHARE_SCREENING_AND_RESEARCH,OPERATIONAL,"100-name research Longlist, formal Research Objects and governed state routing"
HONG_KONG_STOCK_CONNECT_UNIVERSE,OPERATIONAL,644 accepted Southbound securities with security and issuer semantics
HONG_KONG_MARKET_FINANCIAL_EVIDENCE,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,"Price, volume, corporate action, FX, HKEX disclosures and normalized financial facts"
HONG_KONG_FACTOR_AND_SCREENING,OPERATIONAL,"28 factors, five formal sleeves and 100-name formal-sleeve-only Longlist"
HONG_KONG_PUBLIC_EQUITY_RESEARCH,OPERATIONAL_BOUNDED_COHORT,20 formal Research Objects with 4 Graduated and 2 Shadow Track cases
CROSS_MARKET_A_H_DUPLICATION_CONTROL,OPERATIONAL,Explicit A/H duplication review before any market selection or exposure
INVESTMENT_OS_STATE_ROUTING,OPERATIONAL_READ_ONLY_OVERLAY,Six governed transitions without base-pool or portfolio mutation
SIMULATION_AND_REAL_ACCOUNT_GATES,GOVERNANCE_READY_NO_AUTOMATIC_ADMISSION,Separate user-governed gates remain mandatory
AUTOMATIC_ORDER_EXECUTION,INTENTIONALLY_DISABLED,No broker integration and trade authority remains NONE
PERSISTENT_ALPHA_PROOF,NOT_ESTABLISHED,Operational capability does not prove future or persistent excess returns
