conflict_id,priority,domain,rule_or_source_a,rule_or_source_b,conflict_description,risk,resolution_route,wp1_5b_status,resolution_evidence
CF-001,P0,完整运行包保留,14_PRODUCTION File retention,Release 8完整包已从File Library清除,R9未嵌入R8且GitHub未保存R8全部内容,完整恢复链断裂,WP1-5重建双层Canonical并恢复R8云端不可变副本,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-002,P0,Active Kernel完整性,00_README声明Archive永不参与,稳健复利、退出、写回、候选赛马、月度委员会等关键规则只在Archive,必要规则形式上存在但运行时失活,受控救援并重写精简Active规则,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-003,P0,CORE静态边界,CORE不得保存动态事实,17_FMDL4和多项Active文件保存Release ID、日期和阶段状态,规则包被历史阶段污染,Release事实移入Bindings/History,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-004,P0,版本一致性,Release 8宣称runtime 3.5.0,Active/Schema/Config混用3.4.0–3.4.3,无法形成单一可复现契约,统一版本和迁移器,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-005,P0,生产验收,POST-FMDL4 Validation报告PASS,自身运行重放39项仅17 PASS并出现230 FATAL,外层字节验收未覆盖运行一致性,修复后重新执行完整runtime acceptance,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-006,P0,State原子性,Manifest声称原子元数据一致,215行级run_id/promotion metadata不一致、15 row count不一致,引擎在VALIDATE_SCHEMA阶段拒绝,重建State与Manifest,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-007,P0,现金政策,Active撤销15%战略现金,Reference 38仍保留55%–75%低风险/现金类默认区间,旧政策可能重新污染决策,Deprecated旧配置区间,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-008,P0,真实账户路径,03只说模拟结果不得自动迁移,09/engine把canonical race作为普遍硬Gate，100要求60–120日,直接研究路径被无条件阻断,区分配置工具、直接研究、模拟迁移三路径,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-009,P0,评分治理,Active说评分不能覆盖Gate,历史存在三重评分、四类分数、Owner100分、Factor模型和多个阈值,可能出现平行评分和伪精确,统一维度评分+Gate+置信度,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
CF-010,P0,Candidate生命周期,status_enum单一链,98的L0-L5、FMDL4 Longlist/Research Object及目标新层级不同,状态语义不统一,拆分Research/Candidate/Account状态机,,CLOSED_BY_RULE_SCHEMA_OR_STATE_REBUILD,ACTIVE_RULE_REGISTRY;UNIFIED_SCHEMA;MIGRATION_ACCEPTANCE
