symbol,name,thesis_version,metric,category,prove_condition,kill_condition,threshold_origin,threshold_approval_status,latest_status,latest_evidence_id,action_if_proved,action_if_warning,action_if_killed,automatic_state_mutation,owner_role,authority,trade_authority,prove_kill_id,semantic_hash
000333.SZ,美的集团,FMDL4D-TV1-20260717,organic revenue growth,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000333.SZ-01-02799afc1c4f,02799afc1c4f95f3ae6ed89a1cf27bca221b13b8792c80315c094f09187d9798
000333.SZ,美的集团,FMDL4D-TV1-20260717,core operating margin,MARGIN_OR_YIELD,"The reported margin or yield is stable or improving and the change is explained by product mix, pricing or operating efficiency.","The reported margin or yield deteriorates without a temporary, evidence-backed explanation.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000333.SZ-02-a1a87dfaa6dc,a1a87dfaa6dc15c6e1cd52916e17907c369a32b499dbe9d71077636bf430f69e
000333.SZ,美的集团,FMDL4D-TV1-20260717,international profitability,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000333.SZ-03-0f94cbc9ee75,0f94cbc9ee7569046af59c58236cc4e6d055965adf86bc15b54bf6de732a28f6
000333.SZ,美的集团,FMDL4D-TV1-20260717,free cash flow,CASH_QUALITY,"Recurring cash generation reconciles to reported earnings and covers the relevant dividend, capex or working-capital burden.",Recurring cash conversion remains weak or cannot be reconciled to reported earnings in consecutive official observations.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000333.SZ-04-23a8d595b9b0,23a8d595b9b02634118da9a2341cb4b060a171f19d455389e0d4176275ffe617
000333.SZ,美的集团,FMDL4D-TV1-20260717,capital return,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000333.SZ-05-fee9e4fc05f7,fee9e4fc05f793519b899ef6441a847087c63f00c6e7f76c55325a72df2b739a
000938.SZ,紫光股份,FMDL4D-TV1-20260717,H3C revenue and margin,MARGIN_OR_YIELD,"The reported margin or yield is stable or improving and the change is explained by product mix, pricing or operating efficiency.","The reported margin or yield deteriorates without a temporary, evidence-backed explanation.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000938.SZ-01-8d235a650b08,8d235a650b081d48fbbeca6d71ddf08fcc0c60cfbfc5876018168b2711fe17cd
000938.SZ,紫光股份,FMDL4D-TV1-20260717,AI-related order evidence,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000938.SZ-02-c9de50677e7c,c9de50677e7c2213c03feb6e63b5dd45134ef27ae6257e243e8c4fc592a1328e
000938.SZ,紫光股份,FMDL4D-TV1-20260717,operating cash flow,CASH_QUALITY,"Recurring cash generation reconciles to reported earnings and covers the relevant dividend, capex or working-capital burden.",Recurring cash conversion remains weak or cannot be reconciled to reported earnings in consecutive official observations.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000938.SZ-03-958f9ad4d377,958f9ad4d3775e168f17cedc9721aad2c4bdb8dd99d9035c3bbf9e70304a13e6
000938.SZ,紫光股份,FMDL4D-TV1-20260717,receivables and inventory,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000938.SZ-04-9860be763191,9860be763191b2f12b7ae99e2e579b303c10c8279fd80341f45b63a97794ca94
000938.SZ,紫光股份,FMDL4D-TV1-20260717,minority-interest economics,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-000938.SZ-05-ae0e74395aec,ae0e74395aec49777a16a80c74b406d6923d1d9ec6dc23c641e6e67316ca35ae
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,datacenter switch revenue,OPERATING_OR_THESIS_KPI,The metric follows the expected path in the next official filing or operating disclosure and is supported by source-backed reconciliation.,The metric moves materially opposite the thesis in consecutive official observations or the evidence cannot be reconciled.,DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-002396.SZ-01-e74091f833ab,e74091f833abef5000656e88eb3d0a97a369b1f4677a14b6557b1a650c97fa06
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,subsidiary margins,MARGIN_OR_YIELD,"The reported margin or yield is stable or improving and the change is explained by product mix, pricing or operating efficiency.","The reported margin or yield deteriorates without a temporary, evidence-backed explanation.",DRAFT_THRESHOLD_FOR_PM_CONFIRMATION,NOT_APPROVED,PENDING_BASELINE_OBSERVATION,,ADVANCE_REENTRY_REVIEW_ONLY,CONTINUE_WATCH_AND_REQUEST_EVIDENCE,RE_UNDERWRITE_OR_RETIRE_THESIS,False,PUBLIC_EQUITY_RESEARCH_OWNER,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-PK-002396.SZ-02-5951b7fcb723,5951b7fcb723512591b9af627860c0ee6fa32f717c4da0e6a2d1bae14eb00510
