symbol,name,thesis_version,catalyst,category,expected_window,source_status,latest_status,impact,next_evidence_source,update_sla_business_days,owner_role,automatic_state_mutation,authority,trade_authority,catalyst_id,semantic_hash
000333.SZ,美的集团,FMDL4D-TV1-20260717,international share gains,INDUSTRY_AND_PRODUCT_DEMAND,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000333.SZ-01-4dcad951beb0,4dcad951beb0f9b6cb8b760e26dbcbf370e7e607b0bc9e27eb17878a20f6ca50
000333.SZ,美的集团,FMDL4D-TV1-20260717,margin resilience,EARNINGS_AND_CASH,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000333.SZ-02-066ecb0a1c7f,066ecb0a1c7f48c224ceb78307d3fbe1734a223ecc468877b9f5493fe0de4b9a
000333.SZ,美的集团,FMDL4D-TV1-20260717,capital returns,CAPITAL_RETURN,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000333.SZ-03-46b2f67a3570,46b2f67a35704914e65ec74dd06a7faa478b474b782ca6be8ef51b7670362898
000333.SZ,美的集团,FMDL4D-TV1-20260717,industrial technology improvement,COMPANY_EVENT,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000333.SZ-04-1834ec44c343,1834ec44c3436ce631a7307e55ee4300c8675cd06a9c7cd9632dbd6810f69a5e
000938.SZ,紫光股份,FMDL4D-TV1-20260717,AI datacenter orders,INDUSTRY_AND_PRODUCT_DEMAND,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000938.SZ-01-d7d6a59858e4,d7d6a59858e4f84dc5a93f19f4e6f4c6539bbc4abcb0bcbad92462108b3cddb3
000938.SZ,紫光股份,FMDL4D-TV1-20260717,domestic computing deployment,COMPANY_EVENT,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000938.SZ-02-c830d5b01464,c830d5b01464a87061cfb82bfba610b5e45da62d6907caa0260624cb0d8214aa
000938.SZ,紫光股份,FMDL4D-TV1-20260717,margin recovery,EARNINGS_AND_CASH,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-000938.SZ-03-3faabb7e6def,3faabb7e6def47d7bc166b1590cc84544f527fab3179236cf088d2b29507cd8c
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,internet-customer datacenter switch growth,INDUSTRY_AND_PRODUCT_DEMAND,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-002396.SZ-01-2a7a3cdb6718,2a7a3cdb671888e7389510c1b53a7a069c1fd0b407f9d35ee1c73e22b46620a8
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,2026 H1 earnings acceleration,COMPANY_EVENT,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-002396.SZ-02-943a569fdf58,943a569fdf583e6b1165f665f7e9dc030cd2379cc48c832bf7ad1524a8bd334e
002396.SZ,星网锐捷,FMDL4D-TV1-20260717,AI network demand,INDUSTRY_AND_PRODUCT_DEMAND,NEXT_REPORTED_PERIOD_OR_MATERIAL_EVENT,INHERITED_FROM_FMDL4B_SOURCE_BACKED_RESEARCH,UNTESTED_BASELINE,PROVE_OR_DISCONFIRM_THESIS,NEXT_OFFICIAL_FILING_OR_OPERATIONAL_DISCLOSURE,3,PUBLIC_EQUITY_RESEARCH_OWNER,False,THESIS_TRACKING_ATTRIBUTION_AND_FEEDBACK_PROPOSALS_ONLY,NONE,FMDL4D-CAT-002396.SZ-03-faae7b62564b,faae7b62564b726b075eb2eec9632dc68be1614ce8e2b113a795ca864787f5eb
