shard_id,flag_id,severity,entity,period,area,issue,impact,recommended_fix,source_id,status
0,FLAG-00001,high,920016.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00002,high,920059.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00003,high,920123.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00004,high,920149.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00005,high,920177.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00006,high,920278.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00007,high,920427.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00008,high,920599.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00009,high,920735.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
0,FLAG-00010,high,920786.BJ,ALL,statement_coverage,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,No normalized decision-grade statement facts,BSE: implement CNINFO document extraction in FMDL-3B-2; other boards: retry/reconcile source routes,CNINFO_OFFICIAL_DISCLOSURE,CONTROLLED_QUARANTINE
