batch_id,p2a_overall_rank,security_id,stock_code_5d,security_name,source_url,governance_status,governance_date,governance_title,governance_summary,earnings_status,earnings_date,earnings_title,earnings_summary,catalyst_status,catalyst_date,catalyst_title,catalyst_summary
P2B_E2_RANK21_40_20260807,21,HKEX:03698,03698,HUISHANG BANK,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=96181,EVIDENCE_PARTIAL,2026-04-14,Approval of amendments to Articles and abolishment of Board of Supervisors,Governance structure changed materially through abolition of the supervisory board and amended articles; board-level oversight and transition effectiveness remain to be assessed.,EVIDENCE_COMPLETE,2026-03-06,POSITIVE PROFIT ALERT,Explicit official positive profit alert is direct management evidence of an upward earnings-expectation change.,EVIDENCE_PARTIAL,2026-03-26,Proposed extension of validity period of A Share offering plan,"Capital-market plan is security-specific and potentially valuation relevant; execution status, dilution and capital-use implications require follow-up."
P2B_E2_RANK21_40_20260807,22,HKEX:02666,02666,UNI MEDICAL,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=126360,EVIDENCE_PARTIAL,2026-06-24,AGM poll results and Articles of Association,"Current AGM and constitutional disclosures provide a governance baseline; ownership, related-party procurement and capital-allocation assessment remain open.",RESEARCH_REQUIRED,2026-06-24,Current 2026 HKEX filings reviewed,"Reviewed current filings do not establish a direct 2026 profit warning/increase, management expectation change or reliable consensus-revision series.",EVIDENCE_PARTIAL,2026-06-02,Medical Related Product Procurement Framework Agreement,"Dated procurement framework is company-specific and may affect related-party/commercial economics; magnitude, counterparties and execution require deeper review."
P2B_E2_RANK21_40_20260807,23,HKEX:00288,00288,WH GROUP,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=105112,EVIDENCE_PARTIAL,2026-05-08,AGM poll results and final dividend,AGM and capital-return disclosures provide current governance and capital-allocation evidence; subsidiary-control and related-party assessment remain open.,EVIDENCE_PARTIAL,2026-04-28,Smithfield Foods unaudited Q1 2026 results,Current subsidiary results provide operating evidence but do not by themselves establish a WH Group consensus estimate revision.,EVIDENCE_PARTIAL,2026-07-10,Notification of Board Meeting,Near-term board/results-cycle notice is dated and security-specific; the actual results and surprise magnitude must be incorporated before catalyst closure.
P2B_E2_RANK21_40_20260807,24,HKEX:02356,02356,DAHSING BANKING,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=7669,EVIDENCE_PARTIAL,2026-06-05,AGM poll results and change in auditors,"Auditor change is directly governance relevant for a bank; rationale, audit transition and control implications require follow-up.",EVIDENCE_PARTIAL,2026-03-30,Announcement of 2025 Final Results,Latest identified official results provide operating evidence but no direct 2026 consensus revision or management expectation-change signal.,RESEARCH_REQUIRED,2026-06-05,AGM and auditor-change cycle,Reviewed current filings do not establish a distinct unresolved forward catalyst with measurable investment impact.
P2B_E2_RANK21_40_20260807,25,HKEX:09636,09636,JF SMARTINVEST,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000186157,EVIDENCE_PARTIAL,2026-06-18,AGM results and ongoing share buybacks,"AGM, auditor re-appointment and recurring buybacks provide governance/capital-allocation evidence; incentive and repurchase economics remain open.",EVIDENCE_PARTIAL,2026-07-10,Voluntary announcement on latest business developments,Latest business update is current expectation-relevant operating evidence but is not a direct consensus-revision series or formal profit alert.,EVIDENCE_PARTIAL,2026-07-10,Voluntary announcement on latest business developments,Company-specific business update plus ongoing buybacks creates measurable follow-through items; durability and valuation impact remain unscored.
P2B_E2_RANK21_40_20260807,26,HKEX:00006,00006,POWER ASSETS,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=6,EVIDENCE_PARTIAL,2026-05-08,Connected Transaction - Subscription of shares in a joint venture company,Connected investment and earlier UK Power Networks disposal are directly relevant to capital allocation and governance; pricing/fairness and reinvestment discipline remain open.,EVIDENCE_PARTIAL,2026-03-18,2025 Annual Results,Latest identified official group results provide operating evidence but no direct 2026 expectation-revision signal.,EVIDENCE_PARTIAL,2026-05-08,JV share subscription after UK Power Networks disposal,"Capital recycling into a joint venture is security-specific; completion, returns and deployment of disposal proceeds require follow-up."
P2B_E2_RANK21_40_20260807,27,HKEX:00003,00003,HK & CHINA GAS,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=3,EVIDENCE_PARTIAL,2026-03-20,Change in Composition of the Board Committee,Board-committee change provides current governance evidence; independence oversight and capital-allocation effectiveness remain to be assessed.,EVIDENCE_PARTIAL,2026-03-20,2025 Annual Results Announcement,Latest identified official results provide fundamentals but no direct 2026 consensus-revision or management expectation-change evidence.,RESEARCH_REQUIRED,2026-06-01,AGM/current filing cycle reviewed,Reviewed filings do not yet establish a distinct unresolved forward catalyst beyond routine reporting and governance events.
P2B_E2_RANK21_40_20260807,28,HKEX:00762,00762,CHINA UNICOM,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1896,EVIDENCE_PARTIAL,2026-05-26,AGM results and director re-election,AGM and director re-election disclosures provide a current governance baseline; state-owner capital allocation and board effectiveness remain open.,EVIDENCE_PARTIAL,2026-04-21,Key Financial and Performance Indicators for Q1 2026,Q1 indicators provide current operating evidence but not a direct consensus-revision series or formal management profit alert.,RESEARCH_REQUIRED,2026-04-21,Q1 2026 performance/trading update,Current operating update is measurable but no distinct unresolved forward catalyst was established in this batch.
P2B_E2_RANK21_40_20260807,29,HKEX:03968,03968,CM BANK,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=12208,EVIDENCE_PARTIAL,2026-07-28,Approval of appointment qualification of the President,President transition follows the April resignation/appointment cycle and is materially governance relevant; execution continuity and strategic implications require follow-up.,EVIDENCE_PARTIAL,2026-04-28,First Quarterly Report of 2026,Official Q1 report supplies current bank fundamentals but no direct market-consensus revision series.,RESEARCH_REQUIRED,2026-07-28,President qualification approval and current disclosures,Leadership transition is governance relevant but the reviewed filings do not establish a distinct quantified forward investment catalyst.
P2B_E2_RANK21_40_20260807,30,HKEX:06127,06127,JOINN,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000080570,EVIDENCE_PARTIAL,2026-06-04,"AGM, appointment of NED, Articles amendments and committee change","Board composition, constitutional amendments and incentive arrangements provide material governance evidence; incentives, related parties and capital allocation require synthesis.",EVIDENCE_COMPLETE,2026-07-14,ESTIMATED RESULTS FOR THE HALF YEAR OF 2026,HKEX classifies the estimated-results announcement as Profit Warning / Inside Information; it is direct management expectation-change evidence.,EVIDENCE_PARTIAL,2026-07-14,Estimated Results for the Half Year of 2026,"Estimated interim results create a dated measurable near-term results catalyst; magnitude, persistence and valuation impact remain to be synthesized."
P2B_E2_RANK21_40_20260807,31,HKEX:06181,06181,LAOPU GOLD,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=1000226406,EVIDENCE_PARTIAL,2026-05-20,Increase in shareholding by a controlling shareholder,Controlling-shareholder purchase is ownership and alignment evidence; concentration governance and capital-allocation implications remain open.,EVIDENCE_COMPLETE,2026-07-27,POSITIVE PROFIT ALERT,Explicit official positive profit alert is direct management evidence of an upward earnings-expectation change.,EVIDENCE_PARTIAL,2026-07-27,Positive Profit Alert,Recent profit alert is a dated security-specific catalyst into the next result cycle; valuation response and sustainability require synthesis.
P2B_E2_RANK21_40_20260807,32,HKEX:00019,00019,SWIRE PACIFIC A,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=30,EVIDENCE_PARTIAL,2026-04-08,Board Changes,"Board and committee changes provide current governance evidence; group complexity, related holdings and capital-allocation oversight remain open.",EVIDENCE_PARTIAL,2026-05-08,Swire Properties Q1 2026 operating statement,Subsidiary operating update provides current group context but is not a direct Swire Pacific consensus-revision series.,EVIDENCE_PARTIAL,2026-06-09,Exchangeable bonds into Cathay Pacific shares,"Exchangeable-bond issuance is a specific capital-allocation transaction linked to Cathay shares; dilution/economic exposure and proceeds use require follow-up."
P2B_E2_RANK21_40_20260807,33,HKEX:00023,00023,BANK OF E ASIA,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=34,EVIDENCE_PARTIAL,2026-02-26,Continuing Connected Transactions - Framework Agreement for Loan Transactions,"Related-party loan framework is directly governance relevant for a bank; limits, pricing, credit controls and conflicts require detailed review.",EVIDENCE_PARTIAL,2026-02-13,Announcement of 2025 Final Results,Official results provide current baseline fundamentals but no direct 2026 consensus-revision or profit-alert evidence.,EVIDENCE_PARTIAL,2026-07-20,Date of Board Meeting,Upcoming results-cycle notice is dated and security-specific; actual interim results and surprise magnitude must be incorporated before catalyst closure.
P2B_E2_RANK21_40_20260807,34,HKEX:02319,02319,MENGNIU DAIRY,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=7578,EVIDENCE_PARTIAL,2026-06-10,"Resignation of NED, appointment of INED and board committee changes",Director and committee changes provide current governance evidence; controlling-shareholder influence and board effectiveness remain open.,EVIDENCE_PARTIAL,2026-04-27,2025 Annual Report / current reporting cycle,Latest identified official financial reporting provides baseline fundamentals but no direct 2026 expectation-revision series.,EVIDENCE_PARTIAL,2026-06-17,Ongoing share buybacks,"Repeated 2026 share repurchases are security-specific capital-allocation actions; scale, pace and valuation discipline require synthesis."
P2B_E2_RANK21_40_20260807,35,HKEX:00008,00008,PCCW,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=10,EVIDENCE_PARTIAL,2026-03-31,Discloseable and connected transaction - sale of further interest in a subsidiary,"Connected subsidiary disposal is directly relevant to governance and capital allocation; pricing, conflicts and retained economics require follow-up.",EVIDENCE_PARTIAL,2026-07-30,Interim Results for the six months ended 30 June 2026,Current interim results provide direct operating evidence but do not by themselves establish a consensus estimate revision.,EVIDENCE_PARTIAL,2026-03-31,Sale of further interest in a subsidiary,"Subsidiary stake sale is a specific strategic/capital event; completion, proceeds and valuation implications remain to be assessed."
P2B_E2_RANK21_40_20260807,36,HKEX:06066,06066,CSC,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=148570,EVIDENCE_PARTIAL,2026-03-31,EGM: election of NED and adjustment to board committees,"Board and committee changes provide governance evidence for a securities firm; capital, risk governance and proprietary-book oversight remain open.",EVIDENCE_COMPLETE,2026-07-14,ANNOUNCEMENT ON ESTIMATED PROFIT INCREASE FOR THE FIRST HALF OF 2026,Official estimated profit increase is direct management evidence of an upward earnings-expectation change.,EVIDENCE_PARTIAL,2026-07-14,Estimated Profit Increase for the First Half of 2026,Profit-increase announcement is a dated measurable catalyst into interim results; quality and sustainability of earnings require synthesis.
P2B_E2_RANK21_40_20260807,37,HKEX:03988,03988,BANK OF CHINA,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=11465,EVIDENCE_PARTIAL,2026-03-30,Director / corporate-governance related announcements,"Current director and governance disclosures provide a bank-governance baseline; board effectiveness, state-owner oversight and capital discipline remain open.",EVIDENCE_PARTIAL,2026-04-29,Report for the First Quarter ended 31 March 2026,Official Q1 report provides current fundamentals but no direct consensus-revision series or profit-alert evidence.,RESEARCH_REQUIRED,2026-07-22,Completion of issuance of write-down undated capital bonds,Capital issuance is measurable balance-sheet information but is not yet established as a directional investment catalyst in this batch.
P2B_E2_RANK21_40_20260807,38,HKEX:01548,01548,GENSCRIPT BIO,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=135102,EVIDENCE_PARTIAL,2026-06-05,AGM results and amendments to memorandum and articles,"Governance and constitutional changes provide current evidence; listed-associate exposure, incentives and capital allocation remain open.",EVIDENCE_COMPLETE,2026-03-10,PROFIT WARNING,Explicit official profit warning is direct management evidence of a downward earnings-expectation change.,EVIDENCE_PARTIAL,2026-07-15,Legend preliminary sales for CARVYKTI for Q2 2026,Quarterly CARVYKTI sales are dated security-specific operating evidence for a material associate; trend and valuation transmission require synthesis.
P2B_E2_RANK21_40_20260807,39,HKEX:00819,00819,TIANNENG POWER,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=15699,EVIDENCE_PARTIAL,2026-06-08,AGM voting results; director re-election and auditor re-appointment cycle,"AGM and auditor/director disclosures provide governance baseline; subsidiary relationships, connected supply arrangements and capital allocation remain open.",EVIDENCE_PARTIAL,2026-03-27,Results Announcement for the year ended 31 December 2025,Latest identified group results provide fundamentals but no direct 2026 expectation-revision signal.,EVIDENCE_PARTIAL,2026-06-25,Completion of corporate bond issuance by a PRC subsidiary,"Subsidiary financing is a dated capital-structure event; funding use, leverage and return implications require follow-up before catalyst synthesis."
P2B_E2_RANK21_40_20260807,40,HKEX:01038,01038,CKI HOLDINGS,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2373,EVIDENCE_PARTIAL,2026-07-17,Appointment of Non-executive Director,"Recent board appointment provides governance evidence; oversight, group related-party structure and capital-allocation effectiveness remain open.",EVIDENCE_PARTIAL,2026-03-18,Annual Results for 2025,Latest identified official results provide fundamentals but no direct 2026 expectation-revision series.,EVIDENCE_PARTIAL,2026-07-30,Date of Board Meeting,Near-term board/results-cycle notice is dated and security-specific; actual interim results and surprise magnitude remain to be incorporated.
