rule_id,source_file,source_layer,audit_status,target_module,rescue_status,source_summary
GOV-001,01_SOURCE_PACKAGE_CONTRACT.md,ACTIVE_KERNEL,REPAIR,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,CORE / STATE / EVIDENCE职责分离。
GOV-002,02_AUTHORITY_AND_CONFLICT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,用户确认的长期规则优先，冲突时停止动作。
GOV-003,02_AUTHORITY_AND_CONFLICT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,历史对话、参考库和归档无裁决权。
GOV-004,00_README.md,ACTIVE_KERNEL,REPAIR,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Active Kernel是唯一规则入口。
GOV-005,ACTIVE_KERNEL_REGISTRY.csv,ACTIVE_KERNEL,REPAIR,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,19项规则均标记ACTIVE_CANONICAL/BINDING。
GOV-006,25_VERSION_GOVERNANCE.md,REFERENCE,MERGE,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,规则变更、回滚和历史归档纪律。
GOV-007,14_PRODUCTION_ACCEPTANCE_AND_OPERATIONS_STANDARD.md,ACTIVE_KERNEL,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,File Library仅保留最终交付包和必要历史，中间包可在离线备份后删除。
GOV-008,14_PRODUCTION_ACCEPTANCE_AND_OPERATIONS_STANDARD.md,ACTIVE_KERNEL,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,三个包任一晋级失败则整体回滚。
GOV-010,CANONICAL_CALL_CHAIN.md,ACTIVE_KERNEL,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,仅加载三个包并执行固定DAG。
GOV-011,N/A,MISSING,MISSING,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,跨对话框唯一Master Plan与执行状态登记。
GOV-012,FMDL7 Final governance,GITHUB,MERGE,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,对话记忆不得作为权威来源。
GOV-013,FMDL7 zero mutation,GITHUB,KEEP,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,审计、恢复和研究验收不得自动变更投资状态。
GOV-015,01_SOURCE_PACKAGE_CONTRACT.md,ACTIVE_KERNEL,REPAIR,10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,项目Sources不再需要，File Library可只留小型入口。
STR-001,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,长期、可复核的风险调整后增值。
STR-002,95_QUALITY_INVESTMENT_SELECTION_SYSTEM.md / 100_REAL_ACCOUNT_STEADY_COMPOUNDING_GATE.md,REFERENCE_ARCHIVE,MERGE,00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,好公司、好投资、账户适配三分离；真实账户稳健复利。
STR-006,38_ASSET_ALLOCATION_POOL_CONSTRUCTION_STANDARD.md,REFERENCE,DEPRECATE,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,NOT_ACTIVE,默认55%–75%低风险资产等固定战略区间。
STR-007,target_allocation.schema.json,SCHEMA,REPAIR,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,真实账户每个资产桶必须有point_target_pct和USER_APPROVED。
STR-009,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,05_SIMULATION_GOVERNANCE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,模拟盘用于验证研究、选股、仓位和退出规则。
STR-010,FMDL7 market capability registry,GITHUB,MISSING,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,A股主投资链、港股通受控Overlay、美股Research Adapter。
STR-011,N/A,MISSING,MISSING,00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,系统不追求纯量化，数据筛选与基本面判断共同决策。
STR-012,FMDL7 Final,GITHUB,MISSING,01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,禁止强制跨市场统一分数和全球总排名。
DAT-002,16_FULL_MARKET_DATA_INTERFACE_STANDARD.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,Full-market数据必须通过schema、hash、row count、run ID和新鲜度检查。
DAT-004,engine_config.json / 14_OPERATIONS,ENGINE_ACTIVE,REPAIR,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,市场价格统一3日、账户无交易声明7日、候选研究14日。
DAT-006,N/A,MISSING,MISSING,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,A股全市场、港股Overlay和美股Adapter的持续更新标准。
DAT-007,N/A,MISSING,MISSING,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,公告、财报、价格、政策、Thesis和系统事件登记。
DAT-008,FMDL3 accepted policies,GITHUB,MERGE,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,财务数据PIT、修订版本和未来信息防泄漏。
DAT-009,FMDL7A/B,GITHUB,MISSING,02_DATA_EVIDENCE_FRESHNESS_AND_PIT_STANDARD.md,RESCUED_OR_REWRITTEN_IN_ACTIVE_MODULE,跨市场身份、A/H重复和ticker-only禁止。
