research_id,symbol,name,as_of,research_version,research_stage,graduation_decision,business_model,competitive_position,owner_quality,earnings_drivers_json,catalysts_json,risks_json,variant_perception,why_now,first_rejection,what_would_make_investable,prove_kill_checks_json,decision_reason_codes_json,graduation_condition,next_workflow,evidence_ids_json,public_sources_json,source_count,screen_rank,screen_research_priority,research_status,state_mutation_authorized,authority,trade_authority,semantic_hash
FMDL4B-RSCH-600900.SH-7ec26ae50e7c3370,600900.SH,长江电力,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"Owner and operator of large-scale hydropower assets; earnings are driven by generation volume, regulated/contracted power pricing, asset efficiency and financing costs.","Scarce river-basin hydropower portfolio with very large installed capacity, long asset lives and strategic grid value.","State-controlled strategic utility; governance baseline is supported by audited filings, while capital-allocation quality remains subject to ongoing debt, acquisition and dividend review.","[""hydrology and reservoir dispatch"", ""power generation and utilization hours"", ""power pricing and market-based trading"", ""interest expense and leverage"", ""dividend policy""]","[""normal-to-strong water inflows"", ""operating leverage from generation recovery"", ""continued high cash distributions""]","[""weak hydrology"", ""power-price or dispatch policy changes"", ""large acquisition/leverage cycle"", ""limited valuation upside after defensive rerating""]",The screen may be capturing durable cash yield rather than short-term momentum; the research question is whether current valuation still compensates for hydrology and policy risk.,2025 distribution plan remained substantial and the FMDL envelope shows a mid-teens-to-high-teens earnings multiple with positive shareholder yield.,A material deterioration in normalized free cash flow or a leverage-funded capital program that weakens distributions.,"Stable normalized generation, dividend coverage from recurring cash flow, and an entry valuation that preserves downside protection.","[""generation and utilization hours versus long-run normal"", ""operating cash flow versus dividends"", ""net debt and interest burden"", ""realized power price"", ""dividend coverage""]","[""DURABLE_ASSET_BASE"", ""CASH_YIELD_SUPPORT"", ""RESEARCH_CASE_READY_NOT_TRADE_READY""]",PORTFOLIO_FIT_AND_ENTRY_VALUATION_REQUIRED,initiating-coverage,"[""FMDL4A-EV-600900.SH-d7adf6f20553740f""]","[{""source_date"": ""2026-04-30"", ""source_id"": ""600900_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""长江电力2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12283277&stockid=600900""}, {""source_date"": ""2026-04-30"", ""source_id"": ""600900_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""长江电力2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12283252&stockid=600900""}]",2,1,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,7ec26ae50e7c3370b284c4c97020a961f272397324d119c3062c3025f4440f55
FMDL4B-RSCH-688498.SH-5f96f182db22a570,688498.SH,源杰科技,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,Designs and manufactures semiconductor laser chips used in optical communications and related high-speed connectivity applications.,"Domestic high-speed optical-chip supplier with strong operating leverage when new products and customer programs ramp, but exposed to customer concentration and technology cycles.","Founder-led technology company; audited filings are available, but customer concentration, product qualification and capacity allocation require deeper underwriting.","[""high-speed laser-chip shipments"", ""product mix and yield"", ""AI datacenter optical demand"", ""customer qualification"", ""capacity utilization""]","[""continued 100G/200G and higher-speed product ramp"", ""new customer wins"", ""sustained AI optical demand""]","[""extreme expectations and valuation"", ""customer concentration"", ""technology substitution"", ""yield and capacity execution"", ""earnings normalization after a surge""]","2026 Q1 growth confirms a powerful product cycle, but current multiples appear to capitalize a long period of exceptional growth.","2026 Q1 revenue and profit accelerated sharply, while FMDL valuation is extremely elevated.",Growth slows before valuation normalizes or new-product evidence fails to support current expectations.,"Broader customer evidence, sustained high-speed product revenue, visible margin durability and a materially improved valuation/risk balance.","[""quarterly revenue concentration"", ""gross margin and yield"", ""new product revenue mix"", ""customer qualification milestones"", ""valuation versus normalized earnings""]","[""EXPOSURE_PROVEN"", ""EXPECTATIONS_HEAVY"", ""CUSTOMER_AND_VALUATION_GATED""]",SUSTAINED_GROWTH_AND_VALUATION_RESET,initiating-coverage,"[""FMDL4A-EV-688498.SH-554d6aef6aecd525""]","[{""source_date"": ""2026-03-25"", ""source_id"": ""688498_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""源杰科技2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12015064&stockid=688498""}, {""source_date"": ""2026-04-28"", ""source_id"": ""688498_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""源杰科技2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12216928&stockid=688498""}]",2,2,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,5f96f182db22a570c2499a05a3e707a8b462ee1dfb5902478ca359de9d7e8584
FMDL4B-RSCH-000779.SZ-792fdf9737bbe7d3,000779.SZ,甘咨询,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,"Provides engineering consulting, survey, design, supervision and project-management services, with material exposure to infrastructure and public-sector project cycles.","Regional engineering-consulting platform with qualification and local customer advantages, but limited evidence of a differentiated national moat.","State-controlled professional-services platform; audited filings available, while receivable quality and capital allocation require further review.","[""new orders and backlog conversion"", ""public infrastructure spending"", ""project mix and billing"", ""receivable collection"", ""staff utilization""]","[""backlog acceleration"", ""regional infrastructure stimulus"", ""improved collections""]","[""lumpy project timing"", ""working-capital intensity"", ""local-government payment risk"", ""limited margin expansion""]","The recovery screen may reflect order-cycle optimism, but sustainable cash conversion is not yet proven.","The stock screened as a recovery candidate, while financial quality and valuation are only moderate.",Order growth fails to convert into operating cash flow or receivables continue to rise.,"Clear backlog disclosure, improved cash conversion, stable margins and evidence of durable demand beyond a single regional cycle.","[""new contracts and backlog"", ""operating cash flow"", ""receivable days"", ""gross margin"", ""regional customer concentration""]","[""RECOVERY_WATCH"", ""CASH_CONVERSION_GAP"", ""MOAT_NOT_YET_PROVEN""]",BACKLOG_AND_CASH_CONVERSION_PROOF,company-tearsheet,"[""FMDL4A-EV-000779.SZ-01b63059f175ad69""]","[{""source_date"": ""2026-04-24"", ""source_id"": ""000779_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""甘咨询2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12167525&stockid=000779""}, {""source_date"": ""2026-04-27"", ""source_id"": ""000779_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""甘咨询2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12201863&stockid=000779""}]",2,3,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,792fdf9737bbe7d3ab86ad0978e8c08ed68422e95f0b0ffecdf74723519cafd5
FMDL4B-RSCH-603823.SH-26b4d9583ae8ea73,603823.SH,百合花,2026-07-17,FMDL4B-RV1-20260717,REJECTED,REJECTED,"Produces organic pigments and related color materials for coatings, inks and plastics.","Established pigment manufacturer, but the current evidence does not demonstrate pricing power sufficient to offset commodity input and demand cyclicality.",Audited filings are available; no governance conclusion beyond filing baseline is asserted.,"[""pigment volume and pricing"", ""raw-material costs"", ""export demand"", ""capacity utilization""]","[""pigment price recovery"", ""raw-material cost relief""]","[""commodity-like competition"", ""margin volatility"", ""environmental and safety compliance"", ""high valuation relative to current earnings""]",Price momentum is not supported by improving earnings in the latest quarter.,"2026 Q1 revenue was nearly flat while net profit declined, yet FMDL trailing valuation is very high.",The latest reported earnings already fail the growth-versus-valuation test.,A sustained margin and volume inflection plus a large valuation reset.,"[""quarterly gross margin"", ""pigment pricing"", ""raw-material spread"", ""cash conversion""]","[""FALSE_POSITIVE_MOMENTUM"", ""EARNINGS_NOT_CONFIRMING"", ""VALUATION_UNSUPPORTED""]",NONE_CURRENT_REJECT,NONE,"[""FMDL4A-EV-603823.SH-ec27dba2c9a71458""]","[{""source_date"": ""2026-04-23"", ""source_id"": ""603823_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""百合花2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12138903&stockid=603823""}, {""source_date"": ""2026-04-30"", ""source_id"": ""603823_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""百合花2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12275708&stockid=603823""}]",2,4,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,26b4d9583ae8ea73de51258d15681f838b8115f1cef747271216d2bb7c587e63
FMDL4B-RSCH-300308.SZ-54f1d9b1fe6f0866,300308.SZ,中际旭创,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"Develops and manufactures high-speed optical transceiver modules used in datacenter, cloud and telecom networks.","Global-scale supplier positioned in high-speed datacenter optics, with strong exposure to AI infrastructure buildout and customer qualification barriers.","Technology-led operator with audited filings; customer concentration, capex discipline and cycle management remain key diligence items.","[""800G and higher-speed optical module shipments"", ""AI datacenter capex"", ""product mix and yield"", ""customer concentration"", ""capacity expansion""]","[""continued hyperscaler AI capex"", ""higher-speed product ramp"", ""operating leverage""]","[""expectations-heavy valuation"", ""customer concentration"", ""technology transitions"", ""capex overshoot"", ""AI spending normalization""]","The earnings acceleration is real, but the investable debate is durability versus a valuation already discounting exceptional growth.","2026 Q1 revenue and net profit grew sharply, validating the screen's AI infrastructure exposure.",Order or margin momentum weakens while valuation remains elevated.,"Evidence of multi-year customer demand, durable margins and an entry point with acceptable downside under normalized growth.","[""quarterly high-speed product mix"", ""top-customer concentration"", ""gross margin"", ""capex and inventory"", ""hyperscaler capex indicators""]","[""EXPOSURE_PROVEN"", ""EARNINGS_ACCELERATION"", ""VALUATION_EXPECTATIONS_GATED""]",ENTRY_VALUATION_AND_SCENARIO_UNDERWRITING_REQUIRED,scenario-sensitivity-generator,"[""FMDL4A-EV-300308.SZ-de53ff9e06963b43""]","[{""source_date"": ""2026-03-31"", ""source_id"": ""300308_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""中际旭创2025年年度报告"", ""url"": ""https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12041853&stockid=300308""}, {""source_date"": ""2026-04-17"", ""source_id"": ""300308_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""中际旭创2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12101253&stockid=300308""}]",2,5,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,54f1d9b1fe6f08661c32d3c0b16cb399b3fcf5640f545e9a7df98d6a9ad5e048
FMDL4B-RSCH-601818.SH-739b5b93d5ec9061,601818.SH,光大银行,2026-07-17,FMDL4B-RV1-20260717,SCREENED,DEFERRED,"National joint-stock commercial bank with corporate, retail, financial-market and asset-management activities.","Scaled national franchise, but comparison requires bank-specific asset-quality, funding, capital and margin metrics not present in the general non-financial FMDL score pack.",State-influenced regulated financial institution; governance and capital-allocation review must use a bank-specific framework.,"[""net interest margin"", ""loan growth"", ""deposit costs"", ""credit costs"", ""fee income"", ""capital adequacy""]","[""credit-cost normalization"", ""deposit repricing"", ""capital return""]","[""asset quality"", ""margin compression"", ""property and local-government exposure"", ""capital dilution""]","Low valuation and dividend yield may be attractive, but the current general financial score intentionally excludes banks.","The defensive screen surfaced a low-valuation bank, but sector-specific evidence is missing.",Any decision based on generic PE/PB without bank-specific asset-quality and capital evidence.,"A bank-specific pack covering NIM, NPL formation, provision coverage, capital, funding and payout sustainability.","[""NIM trend"", ""NPL and special-mention formation"", ""provision coverage"", ""CET1"", ""deposit cost"", ""dividend coverage""]","[""SECTOR_SPECIFIC_PACK_REQUIRED"", ""GENERIC_SCORE_UNAVAILABLE"", ""DIVIDEND_NOT_SUFFICIENT""]",BANK_FINANCIAL_PACK_ACCEPTED,company-tearsheet,"[""FMDL4A-EV-601818.SH-6bfea418f40e7002""]","[{""source_date"": ""2026-03-30"", ""source_id"": ""601818_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""中国光大银行2025年年度报告"", ""url"": ""https://www.cebbank.com/site/tzzgx/cwbg/Ag55/395656075/index.html""}, {""source_date"": ""2026-04-29"", ""source_id"": ""601818_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""中国光大银行2026年第一季度报告"", ""url"": ""https://www.cebbank.com/site/tzzgx/cwbg/Ag55/401088937/index.html""}]",2,6,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,739b5b93d5ec90614194dab8956ce3b29598da5a38b7cebe3eb9a5dafc8fce04
FMDL4B-RSCH-000938.SZ-d9f17de05d92f475,000938.SZ,紫光股份,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"ICT infrastructure platform spanning computing, networking, storage, cloud, security and related services, with major exposure through H3C and AI infrastructure.","Broad domestic enterprise ICT product portfolio and distribution/service reach, with significant positioning in data-center networking and computing.","Audited filings are available; ownership structure, subsidiary economics and capital allocation need continued review.","[""AI compute and networking demand"", ""H3C product mix"", ""domestic substitution"", ""channel and project execution"", ""working capital""]","[""AI datacenter orders"", ""domestic computing deployment"", ""margin recovery""]","[""working-capital outflow"", ""complex group structure"", ""competition"", ""project timing"", ""valuation rerating risk""]","The market may underappreciate earnings leverage from AI infrastructure, but cash conversion and subsidiary economics must confirm it.",2026 Q1 revenue and profit accelerated materially and management highlighted compute-and-connect strategy execution.,Profit growth is not matched by cash conversion or AI exposure remains unquantified.,"Segment-level AI revenue evidence, improved cash conversion and scenario-tested valuation.","[""H3C revenue and margin"", ""AI-related order evidence"", ""operating cash flow"", ""receivables and inventory"", ""minority-interest economics""]","[""AI_INFRA_EXPOSURE"", ""EARNINGS_ACCELERATION"", ""CASH_CONVERSION_GATE""]",CASH_AND_SEGMENT_ATTRIBUTION_REQUIRED,initiating-coverage,"[""FMDL4A-EV-000938.SZ-773dda358b737997""]","[{""source_date"": ""2026-04-15"", ""source_id"": ""000938_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""紫光股份2025年年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12088792&stockid=000938""}, {""source_date"": ""2026-04-29"", ""source_id"": ""000938_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""紫光股份2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12250847&stockid=000938""}]",2,7,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,d9f17de05d92f475442c93313627c60b110b01364bc3f61e743005ae5ee89143
FMDL4B-RSCH-603268.SH-004efdb9da2fe2e3,603268.SH,松发股份,2026-07-17,FMDL4B-RV1-20260717,DEEP_DIVE,DEFERRED,"Following a major asset restructuring, the listed company has shifted from ceramics to ownership of Hengli Heavy Industry and shipbuilding-related operations.","Potentially meaningful heavy-industry and shipbuilding exposure, but historical listed-company financials are not comparable across the restructuring.","Control and asset perimeter changed materially; governance, related-party transactions and pro-forma economics require event-driven underwriting.","[""shipbuilding orderbook"", ""vessel pricing"", ""delivery schedule"", ""steel and labor costs"", ""related-party transactions"", ""financing""]","[""orderbook conversion"", ""capacity utilization"", ""capital raise completion""]","[""restructuring and accounting comparability"", ""related-party exposure"", ""shipbuilding cycle"", ""execution and financing"", ""valuation based on stale history""]",The screen is dominated by a transformed business and cannot be interpreted using legacy financial history.,"The company completed a major asset exchange and acquisition, requiring a full reset of the research baseline.",Using pre-restructuring ratios as if they described the current shipbuilding business.,"Audited pro-forma statements, orderbook and margin disclosure, related-party review and event-driven valuation.","[""pro-forma revenue and earnings"", ""orderbook and delivery schedule"", ""related-party balances"", ""capital raise terms"", ""net debt""]","[""BUSINESS_PERIMETER_CHANGED"", ""HISTORICAL_COMPARABILITY_BROKEN"", ""EVENT_DRIVEN_UNDERWRITING_REQUIRED""]",PRO_FORMA_AND_EVENT_ANALYSIS_COMPLETE,event-driven-analyzer,"[""FMDL4A-EV-603268.SH-10388bad04f942bd""]","[{""source_date"": ""2026-07-14"", ""source_id"": ""603268_RESTRUCTURING"", ""source_type"": ""transaction_filing"", ""title"": ""松发股份重大资产置换及发行股份购买资产披露"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12433199&stockid=603268""}, {""source_date"": ""2026-04-28"", ""source_id"": ""603268_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""松发股份2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12210244&stockid=603268""}]",2,8,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,004efdb9da2fe2e3bc0b527268169fa8720d2fa52927da7ff4ab84f9eaaa2652
FMDL4B-RSCH-000333.SZ-5219d1c77cda388b,000333.SZ,美的集团,2026-07-17,FMDL4B-RV1-20260717,INVESTMENT_CASE_READY,GRADUATED,"Global appliance and industrial technology group spanning consumer appliances, HVAC, robotics, building technologies and international operations.","Scaled global manufacturing, brand, channel, supply-chain and product-development platform with strong cash generation.",Established private-sector operator with long operating record; capital allocation and overseas expansion remain ongoing diligence topics.,"[""domestic appliance demand"", ""international growth"", ""product mix and premiumization"", ""raw materials and FX"", ""industrial and robotics profitability""]","[""international share gains"", ""margin resilience"", ""capital returns"", ""industrial technology improvement""]","[""domestic demand maturity"", ""FX and trade barriers"", ""acquisition integration"", ""margin normalization""]","The stock offers quality and cash return at a moderate valuation, but 2026 Q1 core profit growth softened.","The defensive screen combines reasonable valuation, strong shareholder return and resilient reported growth.",Core profit and cash conversion deteriorate while growth relies on non-recurring items.,"Sustained core earnings, international margin evidence and an attractive entry relative to a conservative growth case.","[""organic revenue growth"", ""core operating margin"", ""international profitability"", ""free cash flow"", ""capital return""]","[""QUALITY_COMPOUNDER"", ""VALUATION_SUPPORT"", ""CORE_EARNINGS_MONITOR""]",PORTFOLIO_FIT_AND_CORE_EARNINGS_CONFIRMATION,initiating-coverage,"[""FMDL4A-EV-000333.SZ-4836bb6f22e8655c""]","[{""source_date"": ""2026-03-31"", ""source_id"": ""000333_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""美的集团2025年年度报告索引"", ""url"": ""https://data.cfi.cn/cbgg/17058/000333.html""}, {""source_date"": ""2026-04-30"", ""source_id"": ""000333_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""美的集团2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12284854&stockid=000333""}]",2,9,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,5219d1c77cda388bc03cdf2666bda06a897e74993743325f5a70581eaba4c8e7
FMDL4B-RSCH-002936.SZ-3b1c8224a6b284b2,002936.SZ,郑州银行,2026-07-17,FMDL4B-RV1-20260717,SCREENED,DEFERRED,"Regional commercial bank serving corporate, retail and local economic clients, with financial-leasing and village-bank subsidiaries.","Strong regional franchise, but concentrated geographic and credit exposure requires sector-specific analysis.",Regulated bank with audited reports; asset-quality and capital analysis cannot be inferred from the general FMDL score.,"[""NIM"", ""regional loan growth"", ""credit cost"", ""deposit funding"", ""fee income"", ""capital""]","[""local credit recovery"", ""credit-cost improvement"", ""deposit repricing""]","[""regional concentration"", ""property and local-government exposure"", ""asset quality"", ""capital pressure""]",Low PB alone does not establish mispricing without credible normalized credit costs.,"The stock surfaced as defensive, but the financial score is unavailable by design for banks.",Treating a low PB as sufficient evidence of value.,"Bank-specific asset-quality, capital, funding and payout analysis.","[""NPL formation"", ""special-mention loans"", ""provision coverage"", ""NIM"", ""CET1"", ""regional concentration""]","[""BANK_PACK_REQUIRED"", ""REGIONAL_CREDIT_RISK"", ""LOW_PB_NOT_ENOUGH""]",BANK_FINANCIAL_PACK_ACCEPTED,company-tearsheet,"[""FMDL4A-EV-002936.SZ-47edcad83015ab42""]","[{""source_date"": ""2026-03-31"", ""source_id"": ""002936_2025_AR"", ""source_type"": ""annual_report"", ""title"": ""郑州银行2025年度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12045042&stockid=002936""}, {""source_date"": ""2026-04-29"", ""source_id"": ""002936_2026_Q1"", ""source_type"": ""quarterly_report"", ""title"": ""郑州银行2026年第一季度报告"", ""url"": ""https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12256009&stockid=002936""}]",2,10,A_IMMEDIATE_RESEARCH,SOURCE_BACKED_BASELINE_COMPLETE,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,3b1c8224a6b284b23510163864fba0597d63363869ac19ead2cde74ad8e4a1fd
