factor_id,factor_status,minimum_coverage_ratio,winsor_lower_quantile,winsor_upper_quantile,percentile_authorized,policy_reason
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core earnings-quality measure with broad coverage
FIN_ASSET_TURNOVER_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core operating-efficiency measure with broad coverage
FIN_CAPEX_INTENSITY_TTM,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Capital intensity is business-model dependent and must not be directionally scored without industry context
FIN_CASH_TO_SHORT_DEBT,PRODUCTION_CORE,0.60,0.01,0.99,true,Core liquidity measure but extreme ratios require tail control
FIN_CFO_MARGIN_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core cash-generation quality measure
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Current provider mapping produces insufficient full-market debt-component coverage
FIN_CFO_TO_PARENT_NI_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core earnings-conversion measure with denominator and tail controls
FIN_CFO_YOY,PRODUCTION_CORE,0.60,0.01,0.99,true,Core cash-flow growth measure after sign-transition controls
FIN_CURRENT_RATIO,PRODUCTION_CORE,0.60,0.01,0.99,true,Core non-financial liquidity measure
FIN_EFFECTIVE_TAX_RATE_TTM,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Tax rate is highly affected by losses one-offs and jurisdictional structure
FIN_FCF_MARGIN_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core free-cash-flow quality measure
FIN_GOODWILL_TO_EQUITY,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Useful risk diagnostic but provider coverage is incomplete and interpretation is transaction-dependent
FIN_GROSS_MARGIN_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core profitability measure
FIN_GROSS_MARGIN_YOY_DELTA,PRODUCTION_CORE,0.60,0.01,0.99,true,Core profitability-change measure after comparability controls
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Current provider mapping produces insufficient full-market debt-component coverage
FIN_INVENTORY_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Inventory intensity is business-model dependent and retained as a diagnostic
FIN_LIABILITIES_TO_ASSETS,PRODUCTION_CORE,0.60,0.01,0.99,true,Core balance-sheet leverage measure
FIN_NET_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Current provider mapping produces insufficient full-market debt-component coverage
FIN_NET_MARGIN_PARENT_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core shareholder profitability measure
FIN_OPERATING_MARGIN_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core operating profitability measure
FIN_OPERATING_MARGIN_YOY_DELTA,PRODUCTION_CORE,0.60,0.01,0.99,true,Core operating-profitability change measure after comparability controls
FIN_PARENT_NI_CAGR_3Y,DEFERRED_HISTORY,0.00,0.01,0.99,false,Accepted Statement Current lacks sufficient three-year comparable history
FIN_PARENT_NI_YOY,PRODUCTION_CORE,0.60,0.01,0.99,true,Core earnings-growth measure after sign-transition controls
FIN_PPNE_TO_ASSETS,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Asset intensity is business-model dependent and retained as a diagnostic
FIN_RECEIVABLES_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,0.00,0.01,0.99,false,Receivables intensity is business-model dependent and retained as a diagnostic
FIN_REVENUE_CAGR_3Y,DEFERRED_HISTORY,0.00,0.01,0.99,false,Accepted Statement Current lacks sufficient three-year comparable history
FIN_REVENUE_YOY,PRODUCTION_CORE,0.60,0.01,0.99,true,Core top-line growth measure
FIN_ROA_AVG_ASSETS_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core return-on-assets measure using average assets
FIN_ROE_AVG_PARENT_EQUITY_TTM,PRODUCTION_CORE,0.60,0.01,0.99,true,Core shareholder return measure using average parent equity
