symbol,name,sector_profile,board,expected_capitalization_state,pilot_role
600519.SH,贵州茅台,GENERAL_NON_FINANCIAL,SH_MAIN,SUPPORTED,high_margin_cash_generator
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SUPPORTED,energy_and_high_dividend_candidate
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,SUPPORTED,large_consumer_industrial
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,SUPPORTED,growth_and_capital_intensity
688981.SH,中芯国际,GENERAL_NON_FINANCIAL,STAR,SUPPORTED,capital_intensive_semiconductor
835185.BJ,贝特瑞,GENERAL_NON_FINANCIAL,BSE,CONTROLLED_QUARANTINE,bse_general_company_control
000001.SZ,平安银行,BANK,SZ_MAIN,SUPPORTED,bank_specialized_profile
600036.SH,招商银行,BANK,SH_MAIN,SUPPORTED,bank_specialized_profile
601318.SH,中国平安,INSURANCE,SH_MAIN,SUPPORTED,insurance_specialized_profile
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,SUPPORTED,securities_specialized_profile
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,SUPPORTED,securities_specialized_profile
688256.SH,寒武纪,PRE_PROFIT_OR_NEGATIVE_EARNINGS,STAR,SUPPORTED,negative_earnings_denominator_control
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,CONTROLLED_QUARANTINE,bse_preprofit_control
