p2a_overall_rank,security_id,stock_code_5d,security_name,transition_as_of_date,from_state,p3_1_proposal_state,to_state,transition_action,formal_candidate_member,formal_candidate_graduation,transition_reason,a_share_candidate_mutation,simulation_mutation,real_account_mutation,orders_created,trade_authority
1,HKEX:00005,00005,HSBC HOLDINGS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
2,HKEX:00941,00941,CHINA MOBILE,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
3,HKEX:02359,02359,WUXI APPTEC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
4,HKEX:00388,00388,HKEX,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
5,HKEX:01308,01308,SITC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
6,HKEX:00300,00300,MIDEA GROUP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
7,HKEX:02388,02388,BOC HONG KONG,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
8,HKEX:00669,00669,TECHTRONIC IND,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
9,HKEX:01530,01530,3SBIO,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
10,HKEX:00440,00440,DAH SING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
11,HKEX:02888,02888,STANCHART,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
12,HKEX:01997,01997,WHARF REIC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
13,HKEX:00551,00551,YUE YUEN IND,2026-08-07,NOT_HK_CANDIDATE,HOLD_RETAINED_INVESTMENT_BLOCKER,BLOCKER_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,P2B Final retained blocker is preserved; no Phase-3 rule can waive it.,False,False,False,0,NONE
14,HKEX:00002,00002,CLP HOLDINGS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
15,HKEX:00966,00966,CHINA TAIPING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
16,HKEX:09992,09992,POP MART,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
17,HKEX:00293,00293,CATHAY PAC AIR,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
18,HKEX:01368,01368,XTEP INT'L,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
19,HKEX:00270,00270,GUANGDONG INV,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
20,HKEX:01114,01114,BRILLIANCE CHI,2026-08-07,NOT_HK_CANDIDATE,HOLD_RETAINED_INVESTMENT_BLOCKER,BLOCKER_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,P2B Final retained blocker is preserved; no Phase-3 rule can waive it.,False,False,False,0,NONE
21,HKEX:03698,03698,HUISHANG BANK,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
22,HKEX:02666,02666,UNI MEDICAL,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
23,HKEX:00288,00288,WH GROUP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
24,HKEX:02356,02356,DAHSING BANKING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
25,HKEX:09636,09636,JF SMARTINVEST,2026-08-07,NOT_HK_CANDIDATE,HOLD_RETAINED_INVESTMENT_BLOCKER,BLOCKER_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,P2B Final retained blocker is preserved; no Phase-3 rule can waive it.,False,False,False,0,NONE
26,HKEX:00006,00006,POWER ASSETS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
27,HKEX:00003,00003,HK & CHINA GAS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
28,HKEX:00762,00762,CHINA UNICOM,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
29,HKEX:03968,03968,CM BANK,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
30,HKEX:06127,06127,JOINN,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
31,HKEX:06181,06181,LAOPU GOLD,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
32,HKEX:00019,00019,SWIRE PACIFIC A,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
33,HKEX:00023,00023,BANK OF E ASIA,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
34,HKEX:02319,02319,MENGNIU DAIRY,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
35,HKEX:00008,00008,PCCW,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
36,HKEX:06066,06066,CSC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
37,HKEX:03988,03988,BANK OF CHINA,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
38,HKEX:01548,01548,GENSCRIPT BIO,2026-08-07,NOT_HK_CANDIDATE,DEFER_RESEARCH_MONITOR,RESEARCH_MONITOR,HOLD_OUTSIDE_CANDIDATE,False,False,one_or_more_decision_rules_failed,False,False,False,0,NONE
39,HKEX:00819,00819,TIANNENG POWER,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
40,HKEX:01038,01038,CKI HOLDINGS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
41,HKEX:01398,01398,ICBC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
42,HKEX:03939,03939,WANGUO GOLD GP,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
43,HKEX:00066,00066,MTR CORPORATION,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
44,HKEX:02269,02269,WUXI BIO,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
45,HKEX:00001,00001,CKH HOLDINGS,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
46,HKEX:02400,02400,XD INC,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
47,HKEX:02145,02145,CHICMAX,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
48,HKEX:02698,02698,SOFTCARE,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_CORE_CANDIDATE,HK_CANDIDATE_CORE,ADMIT_CORE,True,True,"All applicable rules pass with supportive valuation, positive company evidence and no retained/material/bounded confidence cap.",False,False,False,0,NONE
49,HKEX:00316,00316,OOIL,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
50,HKEX:02314,02314,LEE & MAN PAPER,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
51,HKEX:01318,01318,MAO GEPING,2026-08-07,NOT_HK_CANDIDATE,PROPOSE_WATCH_CANDIDATE,HK_CANDIDATE_WATCH,ADMIT_WATCH,True,True,"All applicable rules pass, but bounded uncertainty, mixed/neutral evidence, event timing or limited valuation support warrants Watch rather than Core.",False,False,False,0,NONE
