rule_id,domain,final_status,target_module,source_file,source_layer,audit_status,priority,resolution,executor,user_decision_required,schema_version
GOV-001,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,01_SOURCE_PACKAGE_CONTRACT.md,ACTIVE_KERNEL,REPAIR,P0,扩展为完整运行资产、控制胶囊、GitHub数据与Release、用户确认四层权威模型。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-002,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,02_AUTHORITY_AND_CONFLICT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,保留并补充跨存储权威次序。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-003,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,02_AUTHORITY_AND_CONFLICT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,建立ARCHIVE_RULE_RESCUE流程，救援后由新版Active规则承接。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-004,Canonical,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,00_README.md,ACTIVE_KERNEL,REPAIR,P0,重建精简但完整的Active Kernel，不恢复历史文件堆叠。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-005,Canonical,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL_REGISTRY.csv,ACTIVE_KERNEL,REPAIR,P0,WP1-5重新生成规则注册表并记录来源、版本、替代关系和执行路径。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-006,Versioning,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,25_VERSION_GOVERNANCE.md,REFERENCE,MERGE,P1,抽取稳定治理规则，阶段记录移入Archive/Changelog。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-007,Retention,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,14_PRODUCTION_ACCEPTANCE_AND_OPERATIONS_STANDARD.md,ACTIVE_KERNEL,REPAIR,P0,规定完整运行基线只有在继任包内容完整、云端不可变副本存在且Clean-room恢复通过后才可删除。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-008,Recovery,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,14_PRODUCTION_ACCEPTANCE_AND_OPERATIONS_STANDARD.md,ACTIVE_KERNEL,REPAIR,P1,改为Canonical Release整体晋级、GitHub LKG回滚和File Library恢复入口校验。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-009,Canonical,DEPRECATED_SUCCESSOR_BOUND,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,17_FMDL4_PUBLIC_EQUITY_RESEARCH_AND_INVESTMENT_OS_STANDARD.md,ACTIVE_KERNEL,DEPRECATE,P1,保留永久权限边界，Release ID和日期移入Market Bindings/History。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-010,Architecture,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,CANONICAL_CALL_CHAIN.md,ACTIVE_KERNEL,REPAIR,P0,重建端到端调用链并明确数据生产层、研究判断层、状态层和决策层。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-011,Recovery,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,N/A,MISSING,MISSING,P1,将MASTER_PLAN_AND_STATUS_CURRENT和EXECUTION_REGISTER纳入新版Canonical控制层。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-012,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,FMDL7 Final governance,GITHUB,MERGE,P1,并入Authority Policy。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-013,Audit,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,FMDL7 zero mutation,GITHUB,KEEP,P0,作为所有工作包的固定门禁。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-014,Authority,ACTIVE,investment_os_runtime/10_CORE_STATIC/01_AUTHORITY_MARKET_SCOPE_AND_ACCOUNT_POLICY.md,multiple,ALL,KEEP,P0,永久保留并在所有输出中可验证。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
GOV-015,Architecture,ACTIVE,investment_os_runtime/10_CORE_STATIC/10_VERSION_PUBLICATION_RECOVERY_AND_COST_STANDARD.md,01_SOURCE_PACKAGE_CONTRACT.md,ACTIVE_KERNEL,REPAIR,P0,确立Full Runtime Baseline与Control Capsule双层保留策略。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
STR-001,Objective,ACTIVE,investment_os_runtime/10_CORE_STATIC/00_INVESTMENT_PHILOSOPHY_AND_OBJECTIVE.md,03_INVESTMENT_OBJECTIVE_AND_ACCOUNT_POLICY.md,ACTIVE_KERNEL,KEEP_WITH_CLARIFICATION,P1,补充正式策略目标函数及适用市场。,CONTROL_RUNTIME_AND_GOVERNED_CHATGPT,NO,1.0.0
