p2a_overall_rank,security_id,stock_code_5d,security_name,candidate_tier,candidate_status,as_of_date,primary_sleeve,valuation_support_state,thesis_strength,investment_thesis,principal_falsifier,monitor_triggers,ah_pair_status,ah_relative_value_direction,h_discount_to_a_pct,material_confidence_cap_count,bounded_confidence_cap_count,p3_1_proposal_state,formal_candidate_graduation,portfolio_allocation_authorized,simulation_admission_authorized,real_account_admission_authorized,orders_created,trade_authority
1,HKEX:00005,00005,HSBC HOLDINGS,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=TREND_LIQUIDITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: HSBC to sell Singapore life and health insurance business to Allianz.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"MAS approval, completion/termination, final gain recognition, or material change to bancassurance economics. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
2,HKEX:00941,00941,CHINA MOBILE,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New issuer disclosure or material company-specific event. | Next results/guidance release or reliable consensus-revision update. | Material strategy reset, additional senior departures, control issue or evidence of execution discontinuity.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
3,HKEX:02359,02359,WUXI APPTEC,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=RECOVERY_WATCH; accepted CATALYST evidence is positive: CAPITAL_RETURN_SIGNAL.,"Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Repurchase scale, pace, valuation discipline and cancellation/treasury treatment..","Material acceleration/cessation of buybacks or capital-return policy change. | Next results/guidance release or reliable consensus-revision update. | New non-exempt connected transaction, material rise in related-party balances/capital contributions, or adverse governance disclosure.",TRUE_AH_PAIR,H_PREMIUM_TO_A,-6.9898,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
4,HKEX:00388,00388,HKEX,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New issuer disclosure or material company-specific event. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
5,HKEX:01308,01308,SITC,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=RECOVERY_WATCH; accepted EARNINGS_EXPECTATION_REVISION evidence is mixed and requires disciplined monitoring: Q1 2026 operating statistics replace stale annual-only evidence.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Translate volume growth and lower freight rates into margin/earnings trajectory when H1 results arrive..,"Any exercise of the nominal-price purchase option, material audit adjustment, or change in route economics/regulation. | H1 results, next operating statistics, freight-rate trend and margin translation. | New connected transaction with the same parties, larger percentage ratios, cap/term expansion, or evidence that pricing departs from market/NAV.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
6,HKEX:00300,00300,MIDEA GROUP,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=TREND_LIQUIDITY; accepted CATALYST evidence is mixed and requires disciplined monitoring: Updated Annto listing application; issuance remains bounded and Annto remains controlled subsidiary.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Quantify Annto valuation and shareholder value transfer when final terms become available..,"Prospectus/PHIP, pricing, assured-entitlement terms, regulatory approval, completion or withdrawal. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",TRUE_AH_PAIR,H_DISCOUNT_TO_A,0.7992,0,3,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
7,HKEX:02388,02388,BOC HONG KONG,WATCH,ACTIVE,2026-08-07,DEFENSIVE_STABILITY,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=DEFENSIVE_STABILITY remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Reliable dated consensus revisions or explicit management guidance; trailing/actual results must not substitute..,"New issuer disclosure or material company-specific event. | Next results/guidance release or reliable consensus-revision update. | Further director turnover, committee reconstitution or governance-control disclosure.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
8,HKEX:00669,00669,TECHTRONIC IND,WATCH,ACTIVE,2026-08-07,TREND_LIQUIDITY,SUPPORTIVE,COMPANY_EVIDENCE_SUPPORTED,P2A primary sleeve=TREND_LIQUIDITY; accepted EARNINGS_EXPECTATION_REVISION evidence is positive: Record H1 2026 results provide current positive operating evidence.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Actual results and surprise magnitude..,"Results publication following the board meeting. | H2 demand, tariff/commodity effects, EBIT-margin path, cash conversion and repurchase execution. | New auditor, related-party, control, board or capital-allocation event.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
9,HKEX:01530,01530,3SBIO,WATCH,ACTIVE,2026-08-07,QUALITY_COMPOUNDER,SUPPORTIVE,MIXED_COMPANY_EVIDENCE,P2A primary sleeve=QUALITY_COMPOUNDER; accepted CATALYST evidence is mixed and requires disciplined monitoring: Mandi distribution in specie approved overwhelmingly; completion terms remain conditional.,Principal downside/falsifier: unresolved CATALYST uncertainty; required evidence: Estimate Mandi value and distribution economics once final listing terms are published..,"Mandi listing approval, PHIP/prospectus, pricing, distribution ratio/record date, completion or withdrawal. | 2026 interim-results publication, product/revenue growth, margin, licensing economics and guidance. | First KPMG audit, any qualified opinion/internal-control issue, or unexpected further auditor change.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,2,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
10,HKEX:00440,00440,DAH SING,WATCH,ACTIVE,2026-08-07,RECOVERY_WATCH,SUPPORTIVE,QUANTITATIVE_ONLY_WITH_COMPANY_MONITOR,P2A primary sleeve=RECOVERY_WATCH remains the quantitative research rationale; company-specific evidence is not positive enough to strengthen it. Current reference finding: PRIMARY_EVIDENCE_COMPLETE.,Principal downside/falsifier: unresolved EARNINGS_EXPECTATION_REVISION uncertainty; required evidence: Establish current earnings direction once 2026 interim results or an operating update is published..,"New issuer disclosure or material company-specific event. | 2026 interim-results/board-meeting announcement, NIM, credit cost, asset quality, fee income and capital metrics. | First KPMG audit, qualified opinion/control issue, or unexpected further auditor transition.",NOT_APPLICABLE_NO_CONFIRMED_PAIR,NOT_APPLICABLE,,0,1,PROPOSE_WATCH_CANDIDATE,True,False,False,False,0,NONE
