remaining_priority_rank,p2a_overall_rank,security_id,stock_code_5d,security_name,research_dimension,evidence_date,source_url,secondary_source_url,evidence_title,evidence_summary,resolution_status,resolution_direction,decision_effect,post_blocker,post_materiality,post_finding,resolution_rationale,monitor_trigger,remaining_question,cross_dimension_signal
1,6,HKEX:00300,00300,MIDEA GROUP,CATALYST,2026-06-15,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0615/2026061500464.pdf,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0827/2025082700822.pdf,Updated Annto listing application; issuance remains bounded and Annto remains controlled subsidiary,"Annto submitted an updated Main Board listing application on 12 June 2026. Initial H-share issuance remains capped at 20% of enlarged Annto capital before over-allotment, Annto remains a controlled Midea subsidiary after completion, and assured-entitlement details remain pending. The event is unresolved optionality, not evidence of a present downside impairment.",CONFIDENCE_CAP_MONITOR,MIXED,CONFIDENCE_CAP,False,MEDIUM,PENDING_SPINOFF_OPTIONALITY_CONFIDENCE_CAP,"Valuation and final entitlement terms are still unknown, but the disclosed control retention and bounded issuance mean the pending spin-off should cap catalyst confidence rather than block company-level synthesis.","Prospectus/PHIP, pricing, assured-entitlement terms, regulatory approval, completion or withdrawal.",Quantify Annto valuation and shareholder value transfer when final terms become available.,PENDING_VALUE_UNLOCK_OPTIONALITY
2,9,HKEX:01530,01530,3SBIO,CATALYST,2026-04-23,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302638.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0807/2026080700344.pdf,Mandi distribution in specie approved overwhelmingly; completion terms remain conditional,"Shareholders approved the conditional distribution in specie of all Mandi shares held by 3SBio immediately before spin-off by 99.995306%. The distribution remains conditional on the spin-off, global offering and listing becoming unconditional; exact distribution mechanics remain to be fixed. On 7 August 2026 the company also announced the upcoming interim-results board meeting, with no superseding completed-spin-off disclosure identified.",CONFIDENCE_CAP_MONITOR,MIXED,CONFIDENCE_CAP,False,MEDIUM,APPROVED_SPINOFF_OPTIONALITY_CONFIDENCE_CAP,"The shareholder entitlement architecture and approval are established. Remaining valuation, record-date and completion uncertainty affects catalyst sizing/timing, but is not a standalone graduation blocker absent evidence of adverse value transfer.","Mandi listing approval, PHIP/prospectus, pricing, distribution ratio/record date, completion or withdrawal.",Estimate Mandi value and distribution economics once final listing terms are published.,PENDING_DISTRIBUTION_IN_SPECIE_VALUE_UNLOCK
3,13,HKEX:00551,00551,YUE YUEN IND,GOVERNANCE_VALUE_TRAP,2026-07-24,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0724/2026072400384.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100640.pdf,Fresh H1 2026 profit warning supersedes CCT as the decision-critical blocker,"Yue Yuen expects H1 2026 attributable profit to fall approximately 55%-60% from US$171.2m. Manufacturing revenue fell 4.7%, with weak demand, tariff sharing, operating deleverage, rising labor/overhead costs and production-scheduling inefficiency cited. The PCC services cap remains US$412.587m for 2026, but the fresh earnings deterioration is now the more decision-relevant unresolved risk.",RECLASSIFIED_INVESTMENT_BLOCKER,NEGATIVE,RETAIN_BLOCKER,True,HIGH,FRESH_NEGATIVE_EARNINGS_ALERT,"The prior governance/CCT question is not the main reason to block synthesis. A current, quantified profit warning indicates material operating and margin deterioration; this must remain fail-closed until interim results clarify persistence and normalized earnings power.","12 August 2026 interim results, manufacturing margin bridge, order/demand trajectory and evidence of production-efficiency normalization.",Determine how much of the H1 profit collapse is temporary versus structural and reset normalized earnings/margin assumptions.,FRESH_NEGATIVE_EARNINGS_ALERT_SUPERSEDES_CCT_BLOCKER
4,20,HKEX:01114,01114,BRILLIANCE CHI,CATALYST,2026-08-05,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0805/2026080500564.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072000768.pdf,H1 2026 profit warning confirms material earnings deterioration,"Brilliance China expects H1 2026 profit before tax to decline by not more than 61% and profit attributable to equity holders to decline by not more than 56% from approximately RMB1,701.4m in H1 2025, mainly due to lower contributions from associates/joint venture and lower interest income. Interim results are due by end-August 2026.",RETAINED_INVESTMENT_BLOCKER,NEGATIVE,RETAIN_BLOCKER,True,HIGH,FRESH_NEGATIVE_EARNINGS_ALERT,The fresh quantified warning is direct current-period evidence and remains decision-critical. The company should carry a substantive earnings blocker into Top20 synthesis until the interim result explains associate/JV contribution and sustainable earnings power.,"End-August 2026 interim results, BMW Brilliance contribution bridge, interest-income normalization and forward guidance.",Separate cyclical/one-off effects from structural deterioration and establish normalized earnings power.,FRESH_NEGATIVE_EARNINGS_ALERT
5,20,HKEX:01114,01114,BRILLIANCE CHI,GOVERNANCE_VALUE_TRAP,2026-07-20,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072000768.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0805/2026080500564.pdf,Connected procurement is structurally related but economically small and competitively controlled,"Shenyang Automobile indirectly holds about 29.99% of Brilliance China, but purchases were only RMB2.212m through 19 July 2026 and the full-year proposed cap is RMB20.633m. Supplier selection requires quotations/tenders including at least two independent third parties, with quarterly price comparisons, monthly cap monitoring and annual auditor/INED review.",CLEARED_MONITOR,NEUTRAL,MONITOR_ONLY,False,MEDIUM,STRUCTURAL_RELATED_PARTY_EXPOSURE_MONITOR,"The relationship warrants monitoring, but the disclosed scale is small and the procurement framework contains independent bidding and review controls. It should not duplicate the separate, stronger fresh earnings blocker.","Cap utilization approaching 90%, cap increase, material procurement dependence, failure of independent tendering or adverse auditor/INED review.",Track realized connected-procurement utilization and any evidence that independent supplier competition weakens.,STRUCTURAL_CONNECTED_SHAREHOLDER_MONITOR
6,2,HKEX:00941,00941,CHINA MOBILE,GOVERNANCE_VALUE_TRAP,2026-06-16,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0616/2026061600690.pdf,,CEO succession completed with board-approved experienced appointee,"Chen Yangfan was appointed Executive Director and CEO effective 16 June 2026 after Nomination Committee proposal and Board approval. The disclosure provides his senior telecom, shipping and corporate leadership background and states no additional Rule 13.51(2) matters requiring disclosure.",CLEARED_MONITOR,NEUTRAL,MONITOR_ONLY,False,LOW,SENIOR_LEADERSHIP_SUCCESSION_RESOLVED,"The succession gap identified in D2 is resolved. Normal strategic-continuity monitoring remains appropriate, but there is no basis to keep a graduation blocker solely because leadership changed.","Material strategy reset, additional senior departures, control issue or evidence of execution discontinuity.",Monitor execution continuity under the new CEO rather than treating the appointment itself as a blocker.,SUCCESSION_RESOLVED
7,5,HKEX:01308,01308,SITC,EARNINGS_EXPECTATION_REVISION,2026-04-20,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0420/2026042000243.pdf,,Q1 2026 operating statistics replace stale annual-only evidence,"Q1 2026 revenue increased 1.5% to US$772.3m and container volume increased 7.6% to 855,795 TEUs, while average freight rate declined 4.7% to US$766/TEU. This is current operating evidence, though it is not a consensus-revision series.",CONFIDENCE_CAP_MONITOR,MIXED,CONFIDENCE_CAP,False,MEDIUM,CURRENT_OPERATING_EVIDENCE_WITHOUT_RELIABLE_REVISION_SERIES,"The stale-evidence premise is obsolete. Current operating data are mixed and adequate to remove the blocker, while absence of a reliable consensus-revision series remains a confidence cap rather than a bearish inference.","H1 results, next operating statistics, freight-rate trend and margin translation.",Translate volume growth and lower freight rates into margin/earnings trajectory when H1 results arrive.,CURRENT_Q1_OPERATING_EVIDENCE
8,8,HKEX:00669,00669,TECHTRONIC IND,EARNINGS_EXPECTATION_REVISION,2026-08-04,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0804/2026080401404.pdf,,Record H1 2026 results provide current positive operating evidence,"H1 2026 revenue rose 5.9% to US$8.3bn, net profit rose 17.5% to US$738m, EBIT margin reached 9.9%, and free cash flow was US$753m. Management stated it is well positioned to meet or exceed its internal 10% EBIT margin target by 2027 and expects another strong H2 free-cash-flow performance.",CLEARED_MONITOR,POSITIVE,MONITOR_ONLY,False,LOW,CURRENT_POSITIVE_H1_OPERATING_EVIDENCE,"Current issuer results directly eliminate the stale/annual-only evidence blocker. This is positive operating evidence, not an alpha score and not a claim about third-party consensus revisions.","H2 demand, tariff/commodity effects, EBIT-margin path, cash conversion and repurchase execution.",Monitor whether H1 margin and cash-flow strength persists through H2.,CURRENT_POSITIVE_H1_RESULTS
9,9,HKEX:01530,01530,3SBIO,EARNINGS_EXPECTATION_REVISION,2026-08-07,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0807/2026080700344.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302638.pdf,2026 interim-results board meeting announced; no current result yet,"3SBio announced on 7 August 2026 that the Board will meet for the 2026 interim-results cycle. As of the D4 cut-off, current H1 results have not yet been published. The missing result/consensus series limits confidence but is not itself bearish.",CONFIDENCE_CAP_MONITOR,UNKNOWN,CONFIDENCE_CAP,False,MEDIUM,IMMINENT_RESULTS_CYCLE_CONFIDENCE_CAP,"A pending scheduled result is an information-timing limitation, not a substantive negative company blocker. Carry a confidence cap into synthesis and update when the interim result is released.","2026 interim-results publication, product/revenue growth, margin, licensing economics and guidance.",Refresh earnings direction immediately after the announced interim-results release.,IMMINENT_INTERIM_RESULTS
10,10,HKEX:00440,00440,DAH SING,EARNINGS_EXPECTATION_REVISION,2026-07-02,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=879,,Official HKEX disclosure surface has no 2026 interim/operating result through the D4 cut-off,"The official HKEX disclosure surface shows the 2025 final results on 30 March 2026 and subsequent governance/monthly-return disclosures, but no 2026 interim result or current operating update through the D4 cut-off. Missing current-period evidence caps confidence but is not evidence of deterioration.",CONFIDENCE_CAP_MONITOR,UNKNOWN,CONFIDENCE_CAP,False,MEDIUM,CURRENT_PERIOD_EVIDENCE_PENDING_CONFIDENCE_CAP,"D2 correctly identified missing current-period evidence, but D4 distinguishes missing data from a negative finding. The absence should cap confidence and trigger a refresh, not block company-level synthesis.","2026 interim-results/board-meeting announcement, NIM, credit cost, asset quality, fee income and capital metrics.",Establish current earnings direction once 2026 interim results or an operating update is published.,NO_CURRENT_PERIOD_EARNINGS_DISCLOSURE_YET
