factor_id,factor_status,production_profile_count,production_valid_or_warning_count,production_controlled_outcome_count,production_value_coverage_ratio,production_controlled_coverage_ratio,production_coverage_ratio,minimum_coverage_ratio,factor_gate_status,percentile_authorized,policy_reason,authority,trade_authority
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,PRODUCTION_CORE,5104,5009,5009,0.9813871473354232,0.9813871473354232,0.9813871473354232,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-quality measure with broad coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,PRODUCTION_CORE,5104,5009,5009,0.9813871473354232,0.9813871473354232,0.9813871473354232,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating-efficiency measure with broad coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CAPEX_INTENSITY_TTM,DIAGNOSTIC_ONLY,5104,4959,4962,0.9715909090909091,0.9721786833855799,0.9721786833855799,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Capital intensity is business-model dependent and must not be directionally scored without industry context,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CASH_TO_SHORT_DEBT,PRODUCTION_CORE,5104,4049,4086,0.7932993730407524,0.8005485893416928,0.8005485893416928,0.6,ACCEPTED_PRODUCTION_CORE,True,Core liquidity measure but extreme ratios require tail control,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_MARGIN_TTM,PRODUCTION_CORE,5104,5008,5011,0.9811912225705329,0.9817789968652038,0.9817789968652038,0.6,ACCEPTED_PRODUCTION_CORE,True,Core cash-generation quality measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,DIAGNOSTIC_ONLY,5104,610,621,0.1195141065830721,0.12166927899686521,0.12166927899686521,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,PRODUCTION_CORE,5104,3490,5011,0.6837774294670846,0.9817789968652038,0.9817789968652038,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-conversion measure with denominator and tail controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,PRODUCTION_CORE,5104,3397,4907,0.6655564263322884,0.9614028213166145,0.9614028213166145,0.6,ACCEPTED_PRODUCTION_CORE,True,Core cash-flow growth measure after sign-transition controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,PRODUCTION_CORE,5104,5100,5100,0.9992163009404389,0.9992163009404389,0.9992163009404389,0.6,ACCEPTED_PRODUCTION_CORE,True,Core non-financial liquidity measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,DIAGNOSTIC_ONLY,5104,3508,4931,0.6873040752351097,0.9661050156739812,0.9661050156739812,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Tax rate is highly affected by losses one-offs and jurisdictional structure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,PRODUCTION_CORE,5104,4959,4962,0.9715909090909091,0.9721786833855799,0.9721786833855799,0.6,ACCEPTED_PRODUCTION_CORE,True,Core free-cash-flow quality measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,DIAGNOSTIC_ONLY,5104,2575,2593,0.5045062695924765,0.5080329153605015,0.5080329153605015,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Useful risk diagnostic but provider coverage is incomplete and interpretation is transaction-dependent,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,PRODUCTION_CORE,5104,5005,5008,0.9806034482758621,0.9811912225705329,0.9811912225705329,0.6,ACCEPTED_PRODUCTION_CORE,True,Core profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,PRODUCTION_CORE,5104,4897,4903,0.9594435736677116,0.9606191222570533,0.9606191222570533,0.6,ACCEPTED_PRODUCTION_CORE,True,Core profitability-change measure after comparability controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,5104,626,632,0.12264890282131662,0.1238244514106583,0.1238244514106583,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,5104,4955,4958,0.970807210031348,0.9713949843260188,0.9713949843260188,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Inventory intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,PRODUCTION_CORE,5104,5103,5103,0.9998040752351097,0.9998040752351097,0.9998040752351097,0.6,ACCEPTED_PRODUCTION_CORE,True,Core balance-sheet leverage measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,5104,626,632,0.12264890282131662,0.1238244514106583,0.1238244514106583,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,PRODUCTION_CORE,5104,5008,5011,0.9811912225705329,0.9817789968652038,0.9817789968652038,0.6,ACCEPTED_PRODUCTION_CORE,True,Core shareholder profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_TTM,PRODUCTION_CORE,5104,5008,5011,0.9811912225705329,0.9817789968652038,0.9817789968652038,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_OPERATING_MARGIN_YOY_DELTA,PRODUCTION_CORE,5104,4900,4906,0.9600313479623824,0.9612068965517241,0.9612068965517241,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating-profitability change measure after comparability controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_CAGR_3Y,DEFERRED_HISTORY,5104,0,0,0.0,0.0,0.0,0.0,DEFERRED_HISTORY,False,Accepted Statement Current lacks sufficient three-year comparable history,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PARENT_NI_YOY,PRODUCTION_CORE,5104,3034,4907,0.594435736677116,0.9614028213166145,0.9614028213166145,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-growth measure after sign-transition controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_PPNE_TO_ASSETS,DIAGNOSTIC_ONLY,5104,5103,5103,0.9998040752351097,0.9998040752351097,0.9998040752351097,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Asset intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_RECEIVABLES_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,5104,5002,5005,0.9800156739811913,0.9806034482758621,0.9806034482758621,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Receivables intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_REVENUE_CAGR_3Y,DEFERRED_HISTORY,5104,0,0,0.0,0.0,0.0,0.0,DEFERRED_HISTORY,False,Accepted Statement Current lacks sufficient three-year comparable history,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_REVENUE_YOY,PRODUCTION_CORE,5104,4903,4906,0.9606191222570533,0.9612068965517241,0.9612068965517241,0.6,ACCEPTED_PRODUCTION_CORE,True,Core top-line growth measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ROA_AVG_ASSETS_TTM,PRODUCTION_CORE,5104,5009,5009,0.9813871473354232,0.9813871473354232,0.9813871473354232,0.6,ACCEPTED_PRODUCTION_CORE,True,Core return-on-assets measure using average assets,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ROE_AVG_PARENT_EQUITY_TTM,PRODUCTION_CORE,5104,4980,5010,0.975705329153605,0.9815830721003135,0.9815830721003135,0.6,ACCEPTED_PRODUCTION_CORE,True,Core shareholder return measure using average parent equity,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
